Time,Open,High,Low,Latest,Change,%Change,Volume
2016-01-04,75.4,75.81,74.84,75.79,-0.85,-1.11%,3957900
2016-01-05,75.93,76.08,75.44,75.97,0.18,+0.24%,1367200
2016-01-06,74.81,75.11,74.07,74.58,-1.39,-1.83%,2094600
2016-01-07,73.21,74.04,72.68,72.89,-1.69,-2.27%,2613100
2016-01-08,73.24,73.47,71.91,72,-0.89,-1.22%,2007700
2016-01-11,72.27,72.51,71.01,71.77,-0.23,-0.32%,3731800
2016-01-12,72.31,72.65,71.13,72.11,0.34,+0.47%,2219100
2016-01-13,72.34,72.58,70.09,70.3,-1.81,-2.51%,2761100
2016-01-14,70.49,71.72,69.68,71.26,0.96,+1.37%,2811900
2016-01-15,69.4,70.11,68.89,69.9,-1.36,-1.91%,2788600
2016-01-19,70.5,70.72,69,69.69,-0.21,-0.30%,2836100
2016-01-20,68.72,69.62,66.94,68.95,-0.74,-1.06%,3984000
2016-01-21,69.21,70.38,68.65,69.58,0.63,+0.91%,1671000
2016-01-22,70.59,71.24,70.33,70.95,1.37,+1.97%,1068100
2016-01-25,70.68,70.78,69.54,69.6,-1.35,-1.90%,1235600
2016-01-26,69.97,70.97,69.85,70.88,1.28,+1.84%,775300
2016-01-27,70.68,71.66,69.91,70.34,-0.54,-0.76%,1400100
2016-01-28,70.91,71.07,69.87,70.39,0.05,+0.07%,1169800
2016-01-29,70.77,72.38,70.73,72.38,1.99,+2.83%,1000400
2016-02-01,71.83,72.72,71.55,72.35,-0.03,-0.04%,3406300
2016-02-02,71.68,71.68,70.63,70.85,-1.5,-2.07%,1211800
2016-02-03,71.31,71.74,69.79,71.54,0.69,+0.97%,2214400
2016-02-04,71.38,72.54,71.38,71.95,0.41,+0.57%,1521000
2016-02-05,71.71,71.73,70.51,70.73,-1.22,-1.70%,1297800
2016-02-08,69.86,69.86,68.3,69.24,-1.49,-2.11%,2050200
2016-02-09,68.43,69.58,68.41,69.03,-0.21,-0.30%,2052000
2016-02-10,69.37,70.14,69.01,69.07,0.04,+0.06%,1236700
2016-02-11,67.91,68.52,67.35,68.09,-0.98,-1.42%,2591100
2016-02-12,68.71,69.58,68.37,69.57,1.48,+2.17%,1333900
2016-02-16,70.26,70.96,69.94,70.96,1.39,+2.00%,1481000
2016-02-17,71.44,72.46,71.44,72.27,1.31,+1.85%,880600
2016-02-18,72.36,72.36,71.81,72.12,-0.15,-0.21%,1129300
2016-02-19,71.7,71.93,71.26,71.9,-0.22,-0.31%,819600
2016-02-22,72.6,73.18,72.6,73.16,1.26,+1.75%,693700
2016-02-23,72.88,73.07,72.24,72.29,-0.87,-1.19%,590500
2016-02-24,71.66,72.83,71.19,72.72,0.43,+0.59%,1093400
2016-02-25,72.85,73.54,72.53,73.53,0.81,+1.11%,943200
2016-02-26,73.91,74.09,73.51,73.66,0.13,+0.18%,976400
2016-02-29,73.6,74.07,73.1,73.1,-0.56,-0.76%,1034600
2016-03-01,73.71,74.79,73.42,74.79,1.69,+2.31%,2011700
2016-03-02,74.58,75.35,74.4,75.33,0.54,+0.72%,2157300
2016-03-03,75.22,76.06,75.14,76.02,0.69,+0.92%,1749700
2016-03-04,76.09,76.84,75.8,76.41,0.39,+0.51%,1689000
2016-03-07,76.04,76.98,76.01,76.78,0.37,+0.48%,1198800
2016-03-08,76.34,76.34,75.45,75.52,-1.26,-1.64%,1358700
2016-03-09,75.8,76.12,75.5,75.92,0.4,+0.53%,871400
2016-03-10,76.07,76.51,75.16,76.03,0.11,+0.14%,1391200
2016-03-11,76.68,77.51,76.64,77.46,1.43,+1.88%,1308200
2016-03-14,77.2,77.52,77.03,77.35,-0.11,-0.14%,803700
2016-03-15,76.83,76.91,76.55,76.91,-0.44,-0.57%,534800
2016-03-16,76.71,77.78,76.71,77.64,0.73,+0.95%,844500
2016-03-17,77.67,78.59,77.45,78.36,0.72,+0.93%,989600
2016-03-18,78.16,78.53,78.1,78.32,-0.04,-0.05%,1183000
2016-03-21,78.23,78.48,77.99,78.34,0.02,+0.03%,811900
2016-03-22,77.96,78.5,77.79,78.28,-0.06,-0.08%,1498000
2016-03-23,78.12,78.12,77.42,77.48,-0.8,-1.02%,669200
2016-03-24,76.99,77.39,76.69,77.39,-0.09,-0.12%,982200
2016-03-28,77.57,77.71,77.17,77.5,0.11,+0.14%,634300
2016-03-29,77.3,78.3,77.08,78.29,0.79,+1.02%,749100
2016-03-30,78.69,78.9,78.3,78.53,0.24,+0.31%,797300
2016-03-31,78.47,78.72,78.4,78.53,0,0.00%,1901200
2016-04-01,78.08,78.91,77.7,78.84,0.31,+0.39%,3030700
2016-04-04,78.83,78.91,78.24,78.33,-0.51,-0.65%,641400
2016-04-05,77.83,77.9,77.37,77.45,-0.88,-1.12%,929600
2016-04-06,77.48,78.3,77.32,78.27,0.82,+1.06%,533500
2016-04-07,77.87,78.04,76.96,77.29,-0.98,-1.25%,647200
2016-04-08,77.84,78.14,77.43,77.63,0.34,+0.44%,536100
2016-04-11,77.92,78.36,77.51,77.54,-0.09,-0.12%,696900
2016-04-12,77.63,78.52,77.45,78.38,0.84,+1.08%,585600
2016-04-13,78.76,79.38,78.67,79.37,0.99,+1.26%,1003400
2016-04-14,79.42,79.42,79.03,79.21,-0.16,-0.20%,622400
2016-04-15,79.16,79.26,78.93,79.19,-0.02,-0.03%,656700
2016-04-18,78.93,79.77,78.76,79.76,0.57,+0.72%,543000
2016-04-19,79.94,80.31,79.76,80.11,0.35,+0.44%,691900
2016-04-20,80.2,80.59,79.89,80.26,0.15,+0.19%,683000
2016-04-21,80.26,80.38,79.64,79.72,-0.54,-0.67%,652700
2016-04-22,79.88,80.34,79.8,80.22,0.5,+0.63%,748600
2016-04-25,79.94,80.06,79.55,79.88,-0.34,-0.42%,726200
2016-04-26,80.03,80.44,79.95,80.44,0.56,+0.70%,1199500
2016-04-27,80.37,81.1,80.34,80.96,0.52,+0.65%,895200
2016-04-28,80.35,80.97,79.84,80,-0.96,-1.19%,933500
2016-04-29,79.78,79.83,78.84,79.51,-0.49,-0.61%,831700
2016-05-02,79.72,80.07,79.33,79.98,0.47,+0.59%,734300
2016-05-03,79.38,79.38,78.73,79.08,-0.9,-1.13%,1243200
2016-05-04,78.68,79.04,78.32,78.57,-0.51,-0.64%,1157200
2016-05-05,78.76,79.06,78.39,78.55,-0.02,-0.03%,599900
2016-05-06,78.23,78.87,78.12,78.8,0.25,+0.32%,585100
2016-05-09,78.71,78.98,78.52,78.77,-0.03,-0.04%,481300
2016-05-10,79.05,79.76,78.98,79.74,0.97,+1.23%,474500
2016-05-11,79.5,79.73,78.94,78.94,-0.8,-1.00%,519800
2016-05-12,79.32,79.47,78.43,78.92,-0.02,-0.03%,578200
2016-05-13,78.71,79.01,78.01,78.16,-0.76,-0.96%,785100
2016-05-16,78.27,79.16,78.26,78.96,0.8,+1.02%,1463200
2016-05-17,78.77,79.17,78.19,78.42,-0.54,-0.68%,918000
2016-05-18,78.21,78.82,77.75,78.23,-0.19,-0.24%,793200
2016-05-19,77.83,78.17,77.39,78,-0.23,-0.29%,758000
2016-05-20,78.28,78.72,78.17,78.58,0.58,+0.74%,462200
2016-05-23,78.57,78.78,78.46,78.53,-0.05,-0.06%,431500
2016-05-24,78.81,79.71,78.81,79.54,1.01,+1.29%,553300
2016-05-25,79.79,80.35,79.78,80.16,0.62,+0.78%,752500
2016-05-26,80.29,80.41,80.02,80.1,-0.06,-0.07%,876600
2016-05-27,80.16,80.56,80.16,80.56,0.46,+0.57%,487000
2016-05-31,80.7,80.86,80.29,80.59,0.03,+0.04%,705700
2016-06-01,80.25,80.82,80.09,80.76,0.17,+0.21%,563400
2016-06-02,80.57,81.11,80.46,81.11,0.35,+0.43%,825200
2016-06-03,80.86,80.98,80.24,80.83,-0.28,-0.35%,764100
2016-06-06,81.04,81.51,80.94,81.38,0.55,+0.68%,495600
2016-06-07,81.43,81.9,81.38,81.68,0.3,+0.37%,716500
2016-06-08,81.79,82.01,81.65,81.91,0.23,+0.28%,701300
2016-06-09,81.53,81.78,81.35,81.7,-0.21,-0.26%,880100
2016-06-10,81.12,81.12,80.34,80.61,-1.09,-1.33%,497000
2016-06-13,80.34,80.8,79.87,79.89,-0.72,-0.89%,609000
2016-06-14,79.74,80.02,79.16,79.64,-0.25,-0.31%,1016900
2016-06-15,79.8,80.23,79.58,79.65,0.01,+0.01%,837000
2016-06-16,79.24,79.81,78.65,79.74,0.09,+0.11%,1107800
2016-06-17,79.51,79.86,79.3,79.69,-0.05,-0.06%,602400
2016-06-20,80.59,80.99,80.26,80.35,0.66,+0.83%,579200
2016-06-21,80.48,80.65,80.11,80.4,0.05,+0.06%,670400
2016-06-22,80.55,80.88,80.27,80.32,-0.08,-0.10%,794600
2016-06-23,81.01,81.5,80.85,81.49,1.17,+1.46%,697400
2016-06-24,78.72,79.69,78.01,78.18,-3.31,-4.06%,2750900
2016-06-27,77.47,77.49,75.79,76.14,-2.04,-2.61%,2317000
2016-06-28,76.78,77.66,76.78,77.63,1.49,+1.96%,2993200
2016-06-29,78.26,79.26,78.24,79.12,1.49,+1.92%,1657000
2016-06-30,79.31,80.36,78.99,80.35,1.23,+1.55%,1035900
2016-07-01,80.34,80.87,80.09,80.6,0.25,+0.31%,1242100
2016-07-05,80.24,80.27,79.25,79.63,-0.97,-1.20%,1360700
2016-07-06,79.34,80.14,79,80.11,0.48,+0.60%,941700
2016-07-07,80.23,80.67,79.75,80.1,-0.01,-0.01%,762700
2016-07-08,80.72,81.71,80.72,81.6,1.5,+1.87%,609100
2016-07-11,81.78,82.12,81.69,81.92,0.32,+0.39%,651200
