Time,Open,High,Low,Latest,Change,%Change,Volume
2016-01-04,2038.2,2038.2,1989.68,2012.66,-31.28,-1.53%,0
2016-01-05,2013.78,2021.94,2004.17,2016.71,4.05,+0.20%,0
2016-01-06,2011.71,2011.71,1979.05,1990.26,-26.45,-1.31%,0
2016-01-07,1985.32,1985.32,1938.83,1943.09,-47.17,-2.37%,0
2016-01-08,1945.97,1960.4,1918.46,1922.03,-21.06,-1.08%,0
2016-01-11,1926.12,1935.65,1901.1,1923.67,1.64,+0.09%,0
2016-01-12,1927.83,1947.38,1914.35,1938.68,15.01,+0.78%,0
2016-01-13,1940.34,1949.45,1886.41,1890.28,-48.4,-2.50%,0
2016-01-14,1891.68,1934.47,1878.93,1921.84,31.56,+1.67%,0
2016-01-15,1916.68,1916.68,1857.83,1880.33,-41.51,-2.16%,0
2016-01-19,1888.66,1901.44,1864.6,1881.33,1,+0.05%,0
2016-01-20,1876.18,1876.18,1812.29,1859.33,-22.,-1.17%,0
2016-01-21,1861.46,1889.85,1848.98,1868.99,9.66,+0.52%,0
2016-01-22,1877.4,1908.85,1877.4,1906.9,37.91,+2.03%,0
2016-01-25,1906.28,1906.28,1875.97,1877.08,-29.82,-1.56%,0
2016-01-26,1878.79,1906.73,1878.79,1903.63,26.55,+1.41%,0
2016-01-27,1902.52,1916.99,1872.7,1882.95,-20.68,-1.09%,0
2016-01-28,1885.22,1902.96,1874.4,1893.36,10.41,+0.55%,0
2016-01-29,1894,1940.24,1894,1940.24,46.88,+2.48%,0
2016-02-01,1936.94,1947.2,1920.3,1939.38,-0.86,-0.04%,0
2016-02-02,1935.26,1935.26,1897.29,1903.03,-36.35,-1.87%,0
2016-02-03,1907.07,1918.01,1872.75,1912.53,9.5,+0.50%,0
2016-02-04,1911.67,1927.35,1900.52,1915.45,2.92,+0.15%,0
2016-02-05,1913.07,1913.07,1872.65,1880.05,-35.4,-1.85%,0
2016-02-08,1873.25,1873.25,1828.46,1853.44,-26.61,-1.42%,0
2016-02-09,1848.46,1868.25,1834.94,1852.21,-1.23,-0.07%,0
2016-02-10,1857.1,1881.6,1850.32,1851.86,-0.35,-0.02%,0
2016-02-11,1847,1847,1810.1,1829.08,-22.78,-1.23%,0
2016-02-12,1833.4,1864.78,1833.4,1864.78,35.7,+1.95%,0
2016-02-16,1871.44,1895.77,1871.44,1895.58,30.8,+1.65%,0
2016-02-17,1898.8,1930.68,1898.8,1926.82,31.24,+1.65%,0
2016-02-18,1927.57,1930,1915.09,1917.83,-8.99,-0.47%,0
2016-02-19,1916.74,1918.78,1902.17,1917.78,-0.05,0.00%,0
2016-02-22,1924.44,1946.7,1924.44,1945.5,27.72,+1.45%,0
