Time,Open,High,Low,Latest,Change,%Change,Volume
2016-01-04,22.48,23.36,20.67,20.7,2.49,+13.67%,0
2016-01-05,20.75,21.06,19.25,19.34,-1.36,-6.57%,0
2016-01-06,21.67,21.86,19.8,20.59,1.25,+6.46%,0
2016-01-07,23.22,25.86,22.4,24.99,4.4,+21.37%,0
2016-01-08,22.96,27.08,22.48,27.01,2.02,+8.08%,0
2016-01-11,25.58,27.39,23.83,24.3,-2.71,-10.03%,0
2016-01-12,22.97,23.93,21.91,22.47,-1.83,-7.53%,0
2016-01-13,21.72,26.11,21.48,25.22,2.75,+12.24%,0
2016-01-14,24.75,26.28,23.07,23.95,-1.27,-5.04%,0
2016-01-15,28.96,30.95,26.67,27.02,3.07,+12.82%,0
2016-01-19,25.4,27.59,25.21,26.05,-0.97,-3.59%,0
2016-01-20,27.78,32.09,26.59,27.59,1.54,+5.91%,0
2016-01-21,27.79,28.43,25.01,26.69,-0.9,-3.26%,0
2016-01-22,24.21,24.55,22.22,22.34,-4.35,-16.30%,0
2016-01-25,23.3,24.31,22.38,24.15,1.81,+8.10%,0
2016-01-26,23.75,24.02,22.33,22.5,-1.65,-6.83%,0
2016-01-27,22.88,27.22,20.42,23.11,0.61,+2.71%,0
2016-01-28,22.15,23.72,21.9,22.42,-0.69,-2.99%,0
2016-01-29,21.59,21.74,19.5,20.2,-2.22,-9.90%,0
2016-02-01,21.32,23.66,19.61,19.98,-0.22,-1.09%,0
2016-02-02,21.34,22.42,21.06,21.98,2,+10.01%,0
2016-02-03,21.49,24.99,21.42,21.65,-0.33,-1.50%,0
2016-02-04,22.29,23.14,21.24,21.84,0.19,+0.88%,0
2016-02-05,22.09,24.11,21.91,23.38,1.54,+7.05%,0
2016-02-08,25.89,27.72,25.56,26,2.62,+11.21%,0
2016-02-09,28.3,28.31,25.99,26.54,0.54,+2.08%,0
2016-02-10,25.75,26.6,24.47,26.29,-0.25,-0.94%,0
2016-02-11,29.01,30.9,26.67,28.14,1.85,+7.04%,0
2016-02-12,27.16,27.57,24.92,25.4,-2.74,-9.74%,0
2016-02-16,24.96,25.52,23.32,24.11,-1.29,-5.08%,0
2016-02-17,23.4,24.16,21.83,22.31,-1.8,-7.47%,0
2016-02-18,22.16,22.53,21.29,21.64,-0.67,-3.00%,0
2016-02-19,22.39,23.44,20.52,20.53,-1.11,-5.13%,0
2016-02-22,20.14,20.35,19.02,19.38,-1.15,-5.60%,0
2016-02-23,19.75,21.16,19.54,20.98,1.6,+8.26%,0
2016-02-24,22.28,22.87,20.26,20.72,-0.26,-1.24%,0
2016-02-25,20.54,21.26,19.1,19.11,-1.61,-7.77%,0
2016-02-26,18.89,20.13,18.46,19.81,0.7,+3.66%,0
2016-02-29,20.49,20.81,18.38,20.55,0.74,+3.74%,0
2016-03-01,19.84,20.17,17.66,17.7,-2.85,-13.87%,0
2016-03-02,17.98,18.41,16.78,17.09,-0.61,-3.45%,0
2016-03-03,17.25,17.55,16.32,16.7,-0.39,-2.28%,0
2016-03-04,16.48,17.35,16.05,16.86,0.16,+0.96%,0
2016-03-07,17.98,18.04,16.87,17.35,0.49,+2.91%,0
2016-03-08,18.38,18.89,17.82,18.67,1.32,+7.61%,0
2016-03-09,18.55,19.11,18.3,18.34,-0.33,-1.77%,0
2016-03-10,18.09,19.59,17.13,18.05,-0.29,-1.58%,0
2016-03-11,17.09,17.27,16.28,16.5,-1.55,-8.59%,0
2016-03-14,17.01,17.67,16.69,16.92,0.42,+2.55%,0
2016-03-15,17.6,17.85,16.84,16.84,-0.08,-0.47%,0
2016-03-16,15.96,16.32,14.89,14.99,-1.85,-10.99%,0
2016-03-17,15.34,15.38,13.82,14.44,-0.55,-3.67%,0
2016-03-18,14.05,14.36,13.75,14.02,-0.42,-2.91%,0
2016-03-21,14.57,14.73,13.79,13.79,-0.23,-1.64%,0
2016-03-22,14.57,14.76,13.75,14.17,0.38,+2.76%,0
2016-03-23,14.57,15.03,14.33,14.94,0.77,+5.43%,0
2016-03-24,16.3,16.44,14.71,14.74,-0.2,-1.34%,0
2016-03-28,15.65,16.04,14.89,15.24,0.5,+3.39%,0
2016-03-29,15.74,15.89,13.79,13.82,-1.42,-9.32%,0
2016-03-30,13.69,13.89,13.06,13.56,-0.26,-1.88%,0
2016-03-31,13.73,14.28,13.49,13.95,0.39,+2.88%,0
2016-04-01,15.23,15.28,13,13.1,-0.85,-6.09%,0
2016-04-04,13.88,14.24,13.66,14.12,1.02,+7.79%,0
2016-04-05,15.39,15.72,14.93,15.42,1.3,+9.21%,0
2016-04-06,15.61,15.98,14,14.09,-1.33,-8.63%,0
2016-04-07,15.14,16.77,14.68,16.16,2.07,+14.69%,0
2016-04-08,15.34,15.93,14.84,15.36,-0.8,-4.95%,0
2016-04-11,15.34,16.26,14.83,16.26,0.9,+5.86%,0
2016-04-12,15.98,16.57,14.84,14.85,-1.41,-8.67%,0
2016-04-13,14.49,14.53,13.6,13.84,-1.01,-6.80%,0
2016-04-14,13.9,14.12,13.38,13.72,-0.12,-0.87%,0
2016-04-15,13.77,14.19,13.58,13.62,-0.1,-0.73%,0
2016-04-18,14.87,14.94,13.23,13.35,-0.27,-1.98%,0
2016-04-19,13.18,13.88,12.98,13.24,-0.11,-0.82%,0
2016-04-20,13.39,13.5,12.5,13.28,0.04,+0.30%,0
2016-04-21,13.2,14.14,13.16,13.95,0.67,+5.05%,0
2016-04-22,13.7,14.19,13.15,13.22,-0.73,-5.23%,0
2016-04-25,14.07,14.76,13.86,14.08,0.86,+6.51%,0
2016-04-26,14.01,14.43,13.66,13.96,-0.12,-0.85%,0
2016-04-27,14.15,14.95,13.5,13.77,-0.19,-1.36%,0
2016-04-28,14.53,15.61,13.3,15.22,1.45,+10.53%,0
2016-04-29,15.21,17.09,14.91,15.7,0.48,+3.15%,0
2016-05-02,16.32,16.5,14.48,14.68,-1.02,-6.50%,0
2016-05-03,14.92,16.42,14.91,15.6,0.92,+6.27%,0
2016-05-04,15.47,16.85,15.39,16.05,0.45,+2.88%,0
2016-05-05,15.54,16.45,15.22,15.91,-0.14,-0.87%,0
2016-05-06,16.2,16.57,14.71,14.72,-1.19,-7.48%,0
2016-05-09,15.2,15.39,14.17,14.57,-0.15,-1.02%,0
2016-05-10,13.98,14.35,13.55,13.63,-0.94,-6.45%,0
2016-05-11,13.92,14.69,13.29,14.69,1.06,+7.78%,0
2016-05-12,14.55,15.42,13.95,14.41,-0.28,-1.91%,0
2016-05-13,15.15,15.47,13.97,15.04,0.63,+4.37%,0
2016-05-16,15.72,15.98,14.28,14.68,-0.36,-2.39%,0
2016-05-17,14.57,16.12,14.48,15.57,0.89,+6.06%,0
2016-05-18,15.72,16.47,14.86,15.95,0.38,+2.44%,0
2016-05-19,16.37,17.64,16.28,16.33,0.38,+2.38%,0
2016-05-20,16.13,16.3,15.11,15.2,-1.13,-6.92%,0
2016-05-23,16.32,16.47,15.4,15.82,0.62,+4.08%,0
2016-05-24,16.03,16.05,14.36,14.42,-1.4,-8.85%,0
2016-05-25,14.19,14.33,13.64,13.9,-0.52,-3.61%,0
2016-05-26,13.8,14.11,13.43,13.43,-0.47,-3.38%,0
2016-05-27,13.49,13.76,13.04,13.12,-0.31,-2.31%,0
2016-05-31,13.94,15,13.45,14.19,1.07,+8.16%,0
2016-06-01,14.45,15.25,14.18,14.2,0.01,+0.07%,0
2016-06-02,14.42,14.92,13.62,13.63,-0.57,-4.01%,0
2016-06-03,13.78,14.66,12.9,13.47,-0.16,-1.17%,0
2016-06-06,13.84,14.27,13.42,13.65,0.18,+1.34%,0
2016-06-07,12.77,14.05,12.72,14.05,0.4,+2.93%,0
2016-06-08,13.84,14.27,13.7,14.08,0.03,+0.21%,0
2016-06-09,14.01,14.85,13.99,14.64,0.56,+3.98%,0
2016-06-10,14.89,17.32,14.85,17.03,2.39,+16.33%,0
2016-06-13,18.23,21.01,17.89,20.97,3.94,+23.14%,0
2016-06-14,21.28,22.16,20.27,20.5,-0.47,-2.24%,0
2016-06-15,20.25,20.45,18.63,20.14,-0.36,-1.76%,0
2016-06-16,20.8,22.89,19.23,19.37,-0.77,-3.82%,0
2016-06-17,19.42,20.03,18.71,19.41,0.04,+0.21%,0
2016-06-20,17.42,18.55,16.59,18.37,-1.04,-5.36%,0
2016-06-21,17.67,18.96,16.91,18.48,0.11,+0.60%,0
2016-06-22,18.26,21.22,17.82,21.17,2.69,+14.56%,0
2016-06-23,19.54,19.79,17.25,17.25,-3.92,-18.52%,0
2016-06-24,26.06,26.24,19.48,25.76,8.51,+49.33%,0
2016-06-27,24.38,26.72,22.93,23.85,-1.91,-7.41%,0
2016-06-28,21.76,22.07,18.75,18.75,-5.1,-21.38%,0
2016-06-29,18.12,18.27,16.48,16.64,-2.11,-11.25%,0
2016-06-30,16.91,16.98,15.29,15.63,-1.01,-6.07%,0
2016-07-01,15.59,15.86,14.61,14.77,-0.86,-5.50%,0
2016-07-05,16.05,16.62,15.49,15.58,0.81,+5.48%,0
2016-07-06,15.87,17.04,14.96,14.96,-0.62,-3.98%,0
2016-07-07,14.8,15.98,14.33,14.76,-0.2,-1.34%,0
2016-07-08,14.64,14.75,13.19,13.2,-1.56,-10.57%,0
2016-07-11,13.25,13.67,13,13.54,0.34,+2.58%,0
2016-07-12,12.93,13.93,12.75,13.55,0.01,+0.07%,0
2016-07-13,13.32,13.79,12.92,13.04,-0.51,-3.76%,0
2016-07-14,12.5,13.37,12.14,12.82,-0.22,-1.69%,0
2016-07-15,13.12,13.22,12.27,12.67,-0.15,-1.17%,0
2016-07-18,12.75,13.12,12.33,12.44,-0.23,-1.82%,0
