Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
$SPXW,7122.51,Call,7990,2026-12-31T16:30:00-06:00,246,"95.10 x 22","95.80 x 31",95.36,16500,mid,157344000,16500,3980,13.39%,0.22285080213237,MFSL,ToOpen,"13:31:23 ET"
$SPX,7131.59,Call,6000,2026-05-15T16:30:00-05:00,16,"1,132.30 x 5","1,138.80 x 5",1135.87,1250,mid,141983700,3500,93509,0.00%,0,CBMO,N/A,"15:08:42 ET"
$SPXW,7122.51,Call,7980,2026-12-31T16:30:00-06:00,246,"97.40 x 22","98.10 x 30",97.71,14000,mid,136794000,14000,15823,13.42%,0.2267774696185,MFSL,N/A,"13:31:23 ET"
$SPX,7123.3,Call,6000,2026-05-15T16:30:00-05:00,16,"1,130.60 x 5","1,136.40 x 10",1134.07,1175,mid,133253200,1500,93509,34.20%,0.99294325806956,CBMO,N/A,"13:40:51 ET"
$SPX,7123.3,Put,8000,2026-07-17T16:30:00-05:00,79,"823.60 x 2","828.20 x 2",824.94,1500,mid,123741000,1500,1027,0.00%,0,CBMO,ToOpen,"13:40:51 ET"
$SPXW,7129.2,Call,8120,2026-12-31T16:30:00-06:00,246,"69.70 x 13","70.50 x 33",69.74,16500,mid,115071000,16500,20402,13.06%,0.17721967083644,MFSL,N/A,"09:51:25 ET"
$SPX,7119.03,Call,7650,2027-09-17T16:30:00-05:00,506,"482.60 x 1","485.10 x 21",483.85,2000,mid,96770000,2000,2000,16.45%,0.49611396899371,CBMO,N/A,"12:42:38 ET"
$SPX,7130.45,Call,6000,2026-06-18T16:30:00-05:00,50,"1,164.90 x 3","1,167.70 x 3",1163.15,800,bid,93052000,1010,314489,25.93%,0.97119342923201,CBMO,N/A,"11:15:57 ET"
$SPX,7116.67,Call,6000,2026-05-15T16:30:00-05:00,16,"1,126.10 x 5","1,132.70 x 5",1129.47,750,mid,84710200,2250,93509,0.00%,0,CBMO,N/A,"14:24:13 ET"
$SPX,7133.44,Put,6600,2026-09-18T16:30:00-05:00,142,"134.10 x 227","135.10 x 176",135.94,4600,ask,62532400,4603,8477,21.36%,-0.2300883348,CBMO,N/A,"10:13:48 ET"
$SPXW,7129.2,Call,8130,2026-12-31T16:30:00-06:00,246,"68.00 x 5","68.80 x 21",68.01,8250,mid,56108200,14000,14001,13.05%,0.17388170057981,MFSL,N/A,"09:51:26 ET"
$SPX,7123.3,Call,7000,2026-07-17T16:30:00-05:00,79,"319.60 x 15","320.50 x 17",320.7,1500,ask,48105000,1503,37775,16.81%,0.64209476508241,CBMO,N/A,"13:40:51 ET"
$SPX,7133.44,Put,7125,2026-09-18T16:30:00-05:00,142,"253.50 x 157","255.10 x 137",256.48,1700,ask,43601600,2300,744,16.87%,-0.4403132972,CBMO,BuyToOpen,"10:13:48 ET"
$SPX,7119.03,Call,7550,2027-09-17T16:30:00-05:00,506,"536.00 x 1","538.60 x 23",537.3,800,mid,42983900,2000,2000,16.82%,0.52441165261538,CBMO,N/A,"12:42:38 ET"
