Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
$SPXW,7342.85,Call,8120,2026-12-31T16:30:00-06:00,239,"123.40 x 8","124.30 x 19",124.15,35000,mid,434525000,72402,48204,13.75%,0.26438249596677,MFSL,N/A,"11:36:06 ET"
$SPXW,7342.85,Call,8130,2026-12-31T16:30:00-06:00,239,"120.80 x 8","121.70 x 19",121.5,34500,mid,419175000,35003,43413,13.72%,0.26037979538264,MFSL,N/A,"11:36:06 ET"
$SPX,7365.1,Call,6000,2026-05-15T16:30:00-05:00,9,"1,368.20 x 6","1,374.10 x 6",1372.61,2900,mid,398056800,2901,93933,0.00%,0,CBMO,N/A,"15:58:25 ET"
$SPX,7365.1,Call,6000,2026-09-18T16:30:00-05:00,135,"1,477.50 x 9","1,482.40 x 9",1480.87,2500,mid,370217400,4609,131770,24.03%,0.94172576498918,CBMO,N/A,"15:58:25 ET"
$SPX,7346.42,Call,6000,2026-06-18T16:30:00-05:00,43,"1,369.10 x 2","1,372.80 x 2",1370.97,2500,mid,342742500,4763,316025,25.18%,0.99256492127399,CBMO,N/A,"11:18:17 ET"
$SPX,7346.42,Call,6000,2026-06-18T16:30:00-05:00,43,"1,368.50 x 2","1,372.30 x 2",1371.02,2000,mid,274204000,4763,316025,25.18%,0.99256492127399,MFSL,N/A,"11:09:02 ET"
$SPXW,7342.74,Call,8000,2026-12-31T16:30:00-06:00,239,"159.40 x 20","160.20 x 12",159.75,17000,mid,271575000,17005,26348,14.05%,0.31450438699514,MFSL,N/A,"13:45:41 ET"
$SPXW,7336.14,Call,8090,2026-12-31T16:30:00-06:00,239,"128.60 x 13","129.60 x 19",130,17000,ask,221000000,36800,29437,13.79%,0.273367011304,MFSL,N/A,"13:00:59 ET"
$SPX,7342.88,Call,6000,2028-12-15T16:30:00-06:00,954,"1,962.80 x 2","2,262.80 x 2",2112.2,1000,mid,211220000,2011,26409,20.35%,0.86022635302526,CBMO,N/A,"12:37:48 ET"
$SPX,7342.88,Call,6000,2028-12-15T16:30:00-06:00,954,"1,962.80 x 2","2,262.80 x 2",2112.2,1000,mid,211220000,2011,26409,20.35%,0.86022635302526,CBMO,N/A,"12:37:48 ET"
$SPXW,7365.12,Call,8150,2026-12-31T16:30:00-06:00,239,"125.50 x 8","126.50 x 13",125.65,15000,mid,188475000,15001,19852,13.87%,0.2645459673793,MFSL,N/A,"16:05:17 ET"
$SPX,7365.1,Call,7000,2026-09-18T16:30:00-05:00,135,"601.50 x 10","603.00 x 2",603.51,2900,ask,175017900,4789,124904,18.32%,0.73713507941357,CBMO,N/A,"15:58:25 ET"
$SPX,7358.68,Call,6000,2026-10-16T16:30:00-05:00,163,"1,494.70 x 10","1,497.80 x 3",1496.34,1100,mid,164597400,2250,3238,24.31%,0.92494999362819,CBMO,N/A,"14:40:36 ET"
$SPXW,7365.12,Call,8160,2026-12-31T16:30:00-06:00,239,"122.80 x 21","123.90 x 21",123,13000,mid,159900000,15003,48366,13.84%,0.26058954048163,MFSL,N/A,"16:05:17 ET"
$SPXW,7336.14,Call,8030,2026-12-31T16:30:00-06:00,239,"146.20 x 18","147.30 x 18",147.8,10200,ask,150756000,17000,23164,13.95%,0.298566508228,MFSL,N/A,"13:00:59 ET"
$SPXW,7342.74,Call,8050,2026-12-31T16:30:00-06:00,239,"143.60 x 6","144.40 x 12",144,10200,mid,146880000,17008,32826,13.91%,0.29313824017288,MFSL,N/A,"13:45:41 ET"
$SPX,7342.88,Call,7000,2028-12-15T16:30:00-06:00,954,"1,427.40 x 1","1,436.50 x 1",1431,1000,mid,143100000,2001,23816,18.99%,0.73686536855985,CBMO,N/A,"12:37:48 ET"
$SPX,7342.88,Call,6000,2026-07-17T16:30:00-05:00,72,"1,392.70 x 2","1,396.10 x 2",1394.25,1000,mid,139425000,1005,55637,24.81%,0.97461267758305,CBMO,N/A,"13:33:54 ET"
$SPX,7346.42,Call,7300,2026-09-18T16:30:00-05:00,135,"359.20 x 40","360.40 x 10",358.89,3000,bid,107667000,6042,13751,16.12%,0.59983009969288,CBMO,N/A,"10:54:11 ET"
$SPX,7342.88,Put,7300,2026-12-18T16:30:00-06:00,226,"322.80 x 48","323.80 x 44",323.2,3200,mid,103424000,3398,4871,17.82%,-0.415138498,CBMO,N/A,"12:28:04 ET"
$SPXW,7336.14,Call,8030,2026-12-31T16:30:00-06:00,239,"146.20 x 18","147.30 x 18",147.8,6800,ask,100504000,17000,23164,13.95%,0.298566508228,MFSL,N/A,"13:00:59 ET"
$SPXW,7342.74,Call,8050,2026-12-31T16:30:00-06:00,239,"143.60 x 6","144.40 x 12",144,6800,mid,97920000,17008,32826,13.91%,0.29313824017288,MFSL,N/A,"13:45:41 ET"
$SPX,7365.1,Call,7000,2026-05-15T16:30:00-05:00,9,"374.20 x 6","378.80 x 6",377.78,2500,mid,94444900,3144,100924,13.03%,0.9944296756014,CBMO,N/A,"15:58:25 ET"
$SPX,7346.42,Call,7000,2026-06-18T16:30:00-05:00,43,"420.70 x 4","423.40 x 4",422.84,2000,mid,84568000,4828,332831,18.03%,0.8109952339875,MFSL,N/A,"11:09:02 ET"
$SPX,7346.42,Call,7000,2026-06-18T16:30:00-05:00,43,"421.30 x 4","423.90 x 4",422.59,2000,mid,84518000,4828,332831,18.03%,0.8109952339875,CBMO,N/A,"11:18:17 ET"
$SPX,7346.42,Call,7300,2026-09-18T16:30:00-05:00,135,"352.30 x 6","353.20 x 10",348.77,2400,bid,83704800,6042,13751,16.12%,0.59983009969288,CBMO,N/A,"10:33:18 ET"
$SPX,7346.42,Call,6900,2026-12-18T16:30:00-06:00,226,"794.70 x 1","796.60 x 11",794,1000,bid,79400000,1002,14698,19.39%,0.73831696639076,CBMO,N/A,"11:04:56 ET"
$SPX,7346.42,Call,7450,2026-09-18T16:30:00-05:00,135,"259.10 x 12","260.00 x 35",256.08,3000,bid,76824000,8491,4246,15.15%,0.5168421073219,CBMO,N/A,"10:33:18 ET"
$SPX,7317.24,Put,7650,2026-12-18T16:30:00-06:00,226,"463.70 x 23","464.80 x 1",466.18,1600,ask,74588800,1600,350,15.15%,-0.6012167422,CBMO,BuyToOpen,"10:01:50 ET"
$SPXW,7318.39,Call,7125,2026-09-30T16:30:00-05:00,147,"487.60 x 12","488.50 x 5",485.3,1500,bid,72795000,1501,331,17.34%,0.66768772740347,CBMO,SellToOpen,"10:00:18 ET"
$SPX,7358.68,Call,7000,2026-10-16T16:30:00-05:00,163,"636.20 x 2","637.70 x 2",636.97,1000,mid,63697000,2261,4179,18.67%,0.72407383306666,CBMO,N/A,"14:40:36 ET"
$SPX,7346.42,Call,7450,2026-09-18T16:30:00-05:00,135,"265.30 x 49","266.40 x 6",265.14,2400,bid,63633600,8491,4246,15.15%,0.5168421073219,CBMO,N/A,"10:54:11 ET"
$SPX,7342.88,Put,7325,2026-12-18T16:30:00-06:00,226,"330.30 x 31","331.80 x 41",331,1920,mid,63552000,3215,314,17.64%,-0.4260917788,CBMO,ToOpen,"12:28:04 ET"
$SPX,7329.41,Call,7675,2026-12-18T16:30:00-06:00,226,"265.80 x 29","266.70 x 1",267.6,2237,ask,59862100,2303,1676,15.04%,0.44612177326519,SLFT,BuyToOpen,"10:06:44 ET"
$SPX,7342.88,Put,7000,2028-12-15T16:30:00-06:00,954,"537.80 x 22","544.00 x 22",541.05,1000,mid,54105000,2001,23027,20.47%,-0.3158794567,CBMO,N/A,"12:37:48 ET"
