Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
SPY,730.86,2026-08-07,Put,730,9,"7.83 x 62","7.90 x 28",7.88,26997,mid,21273600,47392,17117,18.14%,-0.4705478784,MLAT,N/A,"15:52:27 ET",W
SPY,730.86,2026-08-07,Put,740,9,"12.79 x 88","12.97 x 20",12.82,8470,mid,10858500,21416,22203,16.13%,-0.6786645328,MLAT,N/A,"15:52:27 ET",W
SPY,738.1,2026-08-21,Put,735,23,"9.98 x 123","10.02 x 126",9.99,10000,mid,9990000,21184,48479,15.81%,-0.4367013671,SLCN,N/A,"10:01:49 ET",M
SPY,739.95,2026-08-21,Put,735,23,"9.03 x 64","9.07 x 78",9.07,10000,ask,9070000,10427,48479,15.82%,-0.4118158642,SLCN,N/A,"09:44:50 ET",M
SPY,735.87,2026-08-07,Put,720,9,"3.42 x 29","3.45 x 125",3.46,24500,ask,8477000,26180,13532,20.42%,-0.2374937344,MLFT,BuyToOpen,"13:09:48 ET",W
SPY,734.565,2026-08-21,Put,725,23,"8.39 x 132","8.43 x 160",8.39,9998,bid,8388300,13809,57271,17.70%,-0.3637413797,MLAT,N/A,"10:45:55 ET",M
SPY,729.46,2026-07-29,Put,737,0,"8.58 x 9","8.94 x 12",8.78,7949,mid,6979200,264773,5721,31.66%,-0.730441883,MLET,N/A,"16:08:53 ET",W
SPY,729.52,2026-08-21,Put,706,23,"5.66 x 136","5.72 x 136",5.69,12000,mid,6828000,24227,33329,20.43%,-0.2439375187,MLAT,N/A,"16:06:03 ET",M
SPY,736.6901,2026-08-21,Put,704,23,"3.77 x 197","3.79 x 177",3.77,18000,bid,6786000,18017,20326,20.85%,-0.1780811901,MLAT,N/A,"10:08:44 ET",M
SPY,735.18,2026-08-07,Put,750,9,"15.37 x 6","15.53 x 265",15.42,4045,mid,6237300,10041,11659,13.85%,-0.8183915362,MLAT,N/A,"10:21:47 ET",W
SPY,736.6901,2026-08-21,Put,700,23,"3.32 x 369","3.34 x 9",3.33,18000,mid,5994000,18800,45551,21.44%,-0.1574769769,MLAT,N/A,"10:08:44 ET",M
SPY,735.87,2026-07-31,Put,740,2,"7.51 x 15","7.59 x 22",7.65,7000,ask,5355000,20685,61477,23.14%,-0.6225184465,MLFT,N/A,"13:09:48 ET",W
SPY,735.35,2026-07-31,Put,733,2,"4.42 x 5","4.44 x 35",4.43,11755,mid,5207400,25818,30178,26.62%,-0.4291374558,MLET,N/A,"10:32:46 ET",W
SPY,734.565,2026-08-07,Put,725,9,"4.93 x 124","4.96 x 136",4.95,9998,mid,4949000,12914,16175,19.69%,-0.3235600637,MLAT,N/A,"10:45:55 ET",W
SPY,729.52,2026-08-21,Put,695,23,"3.98 x 141","4.03 x 141",4.01,12000,mid,4812000,14261,15596,21.97%,-0.1751365568,MLAT,N/A,"16:06:03 ET",M
SPY,730.86,2026-08-07,Put,710,9,"2.63 x 154","2.67 x 34",2.65,17998,mid,4769400,27327,22046,21.49%,-0.1860533945,MLAT,N/A,"15:52:27 ET",W
SPY,730.86,2026-08-07,Put,730,9,"7.85 x 1","7.89 x 56",7.89,5907,ask,4660600,47392,17117,18.14%,-0.4705478784,MLAT,N/A,"15:52:33 ET",W
SPY,734.59,2026-07-31,Put,733,2,"4.69 x 29","4.71 x 16",4.7,8759,mid,4116700,51574,30178,25.30%,-0.4476437879,MLET,N/A,"11:15:45 ET",W
SPY,733.03,2026-07-30,Put,738,1,"7.10 x 20","7.15 x 23",7.14,5400,mid,3855600,24174,3569,29.06%,-0.6675924146,SLCN,N/A,"12:35:14 ET",W
