Symbol,Price~,"Exp Date",Type,Strike,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type",Ask
SPY,739.4912,2026-08-21,Call,705,22,"39.40 x 1","39.43 x 75",39.43,1989,ask,7842600,10011,2092,21.45%,0.8320407041584,AUTO,N/A,"13:30:23 ET",M,39.43
SPY,741.69,2026-08-21,Put,780,22,"35.52 x 39","38.45 x 39",36.88,1695,mid,6251100,4600,539,12.11%,-0.9832071926,SLFT,N/A,"16:13:17 ET",M,38.45
SPY,739.93,2026-11-20,Put,685,113,"10.68 x 192","10.72 x 287",10.71,5200,mid,5569200,5211,545,20.60%,-0.2121258739,MLFT,ToOpen,"13:20:37 ET",M,10.72
SPY,737.8,2027-01-15,Put,700,169,"18.42 x 465","18.49 x 415",18.48,2328,mid,4302100,2367,21480,19.24%,-0.290791118,SLAN,N/A,"10:42:57 ET",M,18.49
SPY,738.53,2028-06-16,Put,435,687,"8.51 x 237","8.59 x 258",8.54,4500,mid,3842900,4550,11,30.68%,-0.054992744,MLFT,ToOpen,"12:49:13 ET",M,8.59
SPY,737.71,2026-08-21,Put,702,22,"2.66 x 246","2.69 x 1271",2.69,13802,ask,3712700,22162,18756,20.23%,-0.1460898597,MLET,N/A,"10:06:16 ET",M,2.69
SPY,742.075,2026-08-21,Put,706,22,"2.39 x 206","2.41 x 3273",2.41,15383,ask,3707300,23329,38690,19.23%,-0.1333293117,MESL,N/A,"15:25:34 ET",M,2.41
SPY,739.93,2026-11-20,Put,650,113,"6.87 x 490","6.90 x 462",6.86,5200,bid,3567200,5218,4715,23.69%,-0.1332952709,MLFT,SellToOpen,"13:20:37 ET",M,6.9
SPY,738.53,2027-12-17,Put,455,505,"7.21 x 291","7.26 x 280",7.26,4500,ask,3267000,4500,816,31.42%,-0.0542098132,MLFT,BuyToOpen,"12:49:13 ET",M,7.26
SPY,742.075,2026-08-21,Put,702,22,"2.08 x 331","2.09 x 186",2.08,15383,bid,3199600,50496,18756,19.85%,-0.1162062443,MESL,N/A,"15:25:34 ET",M,2.09
SPY,737.71,2026-08-21,Put,695,22,"2.11 x 171","2.12 x 152",2.11,13802,bid,2912200,18455,35868,21.27%,-0.1157505714,MLET,N/A,"10:06:16 ET",M,2.12
SPY,736.92,2026-11-20,Put,660,113,"8.29 x 761","8.34 x 297",8.29,3040,bid,2520100,3042,497,22.83%,-0.159846257,MLET,SellToOpen,"11:47:30 ET",M,8.34
