Symbol,Name,Latest,%Change,"50D MA","20D MA","200D MA","150D MA","RSI Rank","52W %/High","20D RelVol",Volume,"14D Rel Str","Wtd Alpha"
A,"Agilent Technologies",130.26,-0.91%,127.25,132.33,131.08,126.37,"New Below 50",-18.72%,1.08,2470800,47.97,+6.53
AAPL,"Apple Inc",326.59,-2.14%,303.43,306.95,274.58,277.11,"New Below 70",-2.51%,0.81,53468000,63.87,+52.70
ABBV,"Abbvie Inc",253.38,-0.44%,229.08,248.68,223.6,222.13,"Above 50",-3.16%,0.46,4332800,62.74,+32.81
ABNB,"Airbnb Inc Cl A",144.94,-0.71%,139.19,145.56,131.36,134.54,"Above 50",-3.94%,0.83,3031100,52.16,+9.06
ABT,"Abbott Laboratories",101.66,+0.97%,89.96,93.69,109.67,103.58,"Above 50",-26.06%,1.05,14390600,67.84,-18.48
ACGL,"Arch Capital Grp Ltd",101.83,+0.47%,95.11,99.21,94.3,95.65,"Above 50",-3.10%,1.05,1912800,60.88,+15.91
ACN,"Accenture Plc",144.73,+0.81%,157.6,134.35,215.19,203.83,"New Above 50",-50.28%,0.66,8070300,50.15,-47.87
ADBE,"Adobe Systems Inc",234.74,-1.06%,230.26,215.86,281.36,263,"Above 50",-37.60%,0.82,5123600,58.84,-36.16
ADI,"Analog Devices",372.46,-0.77%,406.19,393.32,325.18,352.17,"Below 50",-16.47%,0.61,2942700,40.51,+57.15
ADM,"Archer Daniels Midland",85.67,-0.27%,79.55,79.21,68.57,71.38,"Above 70",-0.61%,0.96,3181800,71.72,+58.25
ADP,"Automatic Data Processing",255.24,-0.01%,227.93,237.17,237.38,227.28,"Above 50",-19.22%,1.03,2776100,68.78,-9.17
ADSK,"Autodesk Inc",217.8,-0.25%,218.85,203.77,257.93,242.64,"Above 50",-33.82%,0.72,1909500,57.08,-29.43
AEE,"Ameren Corp",110.42,-1.01%,110.43,113.03,107,108.17,"Below 50",-6.68%,0.79,1516300,45.96,+9.28
AEP,"American Electric Power",131.05,-0.82%,131.18,135.06,125.55,127.75,"Below 50",-6.78%,0.56,3054500,43.92,+17.03
AES,"The Aes Corp",14.8,+0.20%,14.64,14.7,14.51,14.63,"Above 50",-16.15%,0.71,6242400,62.45,+7.23
AFL,"Aflac Inc",124.08,-0.51%,117.79,120.68,112.67,113.51,"Above 50",-1.47%,0.76,1672000,63.24,+21.57
AIG,"American International Group",79.8,-0.87%,76.48,77.94,77.65,77.4,"Above 50",-8.58%,0.56,2476400,57.32,+1.55
AIZ,"Assurant Inc",275.47,-0.49%,260.67,273,234.56,239.62,"Above 50",-3.04%,0.79,282100,60.55,+47.27
AJG,"Arthur J. Gallagher & Company",253.66,-0.09%,220.97,241.63,237.42,227.54,"Above 50",-19.60%,0.53,976100,63.33,-11.04
AKAM,"Akamai Technologies",123.13,+2.45%,134.28,119.35,103.34,110.89,"Below 50",-25.58%,1.09,4217800,48.86,+29.23
ALB,"Albemarle Corp",118.2,-2.14%,157.49,132.5,151.35,166.5,"Below 30",-46.52%,0.96,2216300,26.89,+13.33
ALGN,"Align Technology",175.05,-0.97%,171.94,177.59,164.8,173.52,"Below 50",-15.96%,1,1060200,48.15,+7.59
ALL,"Allstate Corp",253.73,+1.53%,227.15,243.73,211.59,214.21,"Above 50",-1.53%,0.69,1313400,63.17,+35.34
ALLE,"Allegion Plc",138.13,+0.65%,133.42,137.04,153.06,147.99,"Above 50",-24.56%,0.98,1267700,54.62,-17.78
AMAT,"Applied Materials",525.7,-0.75%,527.55,602.86,359.99,401.89,"Below 50",-28.93%,0.55,6558300,43.44,+167.48
AMCR,"Amcor Plc",43.23,-1.62%,40.6,43.06,41.82,42.05,"Above 50",-15.14%,0.99,3227800,54.33,-6.15
AMD,"Adv Micro Devices",503.57,+1.58%,500.73,531.33,298.4,321.81,"Below 50",-13.88%,0.83,23440699,47.6,+174.75
AME,"Ametek Inc",235.21,-0.76%,231.24,235.86,216.69,225.03,"Above 50",-3.88%,1.11,1177800,52.14,+28.46
AMGN,"Amgen Inc",364.17,-0.58%,347.16,360.9,340.06,348.61,"Above 50",-6.93%,0.85,1922100,55.58,+19.44
AMP,"Ameriprise Financial Services",526.22,-0.31%,471.3,492.16,474.08,475.73,"New Below 70",-4.35%,0.59,459700,68.98,+7.72
AMT,"American Tower Corp",167.06,-1.76%,177.61,168.9,179.77,178.54,"Below 50",-28.71%,0.74,2570600,41.7,-24.70
AMZN,"Amazon.com Inc",249.99,+1.12%,251.63,242.34,234.21,235.99,"Above 50",-10.26%,0.55,32406400,54.04,+10.45
ANET,"Arista Networks Inc",169.35,+0.44%,161.11,170.84,144.85,146.48,"New Above 50",-10.78%,0.7,6025900,50.03,+45.37
AON,"AON Plc",362.78,-1.21%,331.93,346.58,336.44,332.63,"Above 50",-4.78%,0.67,1074000,61.54,+2.47
AOS,"Smith A.O. Corp",58.88,+0.05%,58.85,60.5,66.33,65.95,"Below 50",-28.08%,1.01,1818400,45.22,-20.02
APA,"Apa Corp",34.84,-1.08%,35.76,33.7,30.8,33.05,"Above 50",-23.70%,0.87,4727800,51.56,+68.59
APD,"Air Products and Chemicals",296.63,+0.34%,289.93,293.89,274.93,281.29,"Above 50",-5.79%,0.7,1044300,53.03,+3.66
APH,"Amphenol Corp",150.51,-0.46%,148.83,161.35,140.76,143.11,"Below 50",-15.69%,0.63,4762400,43.01,+35.95
APO,"Apollo Asset Management",118.24,-1.85%,127.36,121.04,127.09,126.54,"Below 50",-22.94%,0.72,3848700,41.11,-20.40
APP,"Applovin Corp Cl A",424.6,+0.01%,504.29,483.98,530.37,503.54,"Below 50",-43.05%,0.93,5120500,36.17,-11.67
APTV,"Aptiv Plc",57.31,-0.28%,61.42,59.77,71.99,68.96,"Below 50",-35.56%,0.9,2337400,39.98,-25.70
ARE,"Alexandria Real Estate Equities",50.05,-0.34%,49.9,50.73,52.97,50,"New Below 50",-43.28%,0.83,1380300,49.76,-30.09
ARES,"Ares Management LP",121.27,-3.51%,123.72,118.68,135.37,129.82,"New Below 50",-37.89%,0.84,1953100,49.34,-32.25
ATO,"Atmos Energy Corp",177.33,-0.20%,174.33,175.23,176.22,176.9,"Above 50",-7.89%,0.89,1089100,54.53,+9.89
AVB,"Avalonbay Communities",191.84,-0.36%,187.03,190.21,179.9,179.31,"Above 50",-6.42%,0.78,776700,53.74,+0.26
AVGO,"Broadcom Ltd",378.16,+1.98%,402,380.18,363.87,365.12,"Below 50",-23.60%,0.59,14420400,46.74,+23.76
AVY,"Avery Dennison Corp",158.36,-1.28%,159.7,161.39,172.28,172.95,"Below 50",-20.64%,0.89,612100,46.3,-12.47
AWK,"American Water Works",133.65,-1.08%,127.51,131.65,131.52,130.64,"Above 50",-9.61%,0.73,1543400,56.62,-3.01
AXON,"Axon Enterprise",527.48,+3.37%,470.7,534.85,523.86,487.37,"New Above 50",-40.46%,0.75,828700,51.78,-30.69
